persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
experienced,bomberman,6,Bomb,1,0,42.42,0.571,"[(112.0, 112.0), (126.9, 108.3), (141.9, 108.3), (156.8, 108.3), (171.7, 108.3), (186.7, 108.3), (201.6, 108.3), (216.5, 108.3), (231.5, 108.3), (246.4, 108.3), (261.3, 108.3), (276.3, 108.3), (291.2, 108.3), (306.1, 108.3), (321.1, 108.3), (336.0, 108.3), (350.9, 108.3), (365.9, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3)]",0,0,6.12
experienced,bomberman,6,Stuck,0,0,0.0,0.429,"[(112.0, 112.0), (112.0, 126.9), (112.0, 141.9), (112.0, 156.8), (112.0, 171.7), (112.0, 186.7), (112.0, 201.6), (112.0, 216.5), (112.0, 231.5), (112.0, 246.4), (112.0, 261.3), (112.0, 276.3), (112.0, 291.2), (112.0, 306.1), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0), (112.0, 308.0)]",0,0,6.58
experienced,bomberman,6,Bomb,1,0,0.0,0.071,"[(112.0, 112.0), (112.0, 126.9), (112.0, 126.9), (112.0, 126.9), (112.0, 126.9), (112.0, 115.7), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3), (112.0, 108.3)]",0,0,4.0
experienced,bomberman,6,Enemy,0,0,68.65,0.286,"[(112.0, 112.0), (126.9, 115.7), (141.9, 115.7), (162.4, 115.7), (177.3, 121.3), (179.2, 136.3), (179.2, 153.1), (179.2, 171.7)]",0,0,1.03
experienced,bomberman,6,Enemy,0,0,-0.78,0.0,"[(112.0, 112.0), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 115.7)]",0,0,4.77
experienced,bomberman,6,Stuck,3,0,0.39,0.429,"[(112.0, 112.0), (115.7, 126.9), (115.7, 141.9), (112.0, 156.8), (112.0, 171.7), (112.0, 186.7), (115.7, 201.6), (115.7, 220.3), (115.7, 237.1), (115.7, 252.0), (115.7, 266.9), (115.7, 281.9), (115.7, 296.8), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0)]",1,0,9.47
experienced,bomberman,6,Bomb,2,0,14.7,0.714,"[(112.0, 112.0), (115.7, 126.9), (115.7, 141.9), (115.7, 162.4), (119.5, 177.3), (134.4, 179.2), (151.2, 179.2), (169.9, 179.2), (179.2, 192.3), (179.2, 207.2), (179.2, 227.7), (184.8, 242.7), (199.7, 244.5), (218.4, 244.5), (235.2, 244.5), (244.5, 248.3), (244.5, 248.3), (255.7, 237.1), (270.7, 237.1), (293.1, 237.1), (308.0, 227.7), (308.0, 212.8), (308.0, 197.9), (308.0, 182.9), (313.6, 173.6), (313.6, 173.6), (313.6, 173.6), (313.6, 173.6), (313.6, 173.6), (313.6, 173.6), (313.6, 173.6), (317.3, 173.6), (332.3, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 175.5), (352.8, 179.2), (352.8, 179.2), (352.8, 179.2), (365.9, 169.9), (371.5, 154.9), (371.5, 140.0), (371.5, 125.1), (371.5, 110.1), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3)]",1,0,16.0
experienced,bomberman,6,Bomb,1,0,-0.93,0.0,"[(112.0, 112.0), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3)]",0,0,4.0
experienced,bomberman,6,Bomb,1,0,28.83,0.571,"[(112.0, 112.0), (126.9, 108.3), (141.9, 108.3), (156.8, 108.3), (171.7, 108.3), (186.7, 108.3), (201.6, 108.3), (216.5, 108.3), (231.5, 108.3), (246.4, 108.3), (261.3, 108.3), (276.3, 108.3), (291.2, 108.3), (306.1, 108.3), (321.1, 108.3), (336.0, 108.3), (350.9, 108.3), (365.9, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3)]",0,0,9.0
experienced,bomberman,6,Bomb,2,0,14.7,0.714,"[(112.0, 112.0), (115.7, 126.9), (115.7, 141.9), (115.7, 162.4), (119.5, 177.3), (134.4, 179.2), (151.2, 179.2), (169.9, 179.2), (179.2, 192.3), (179.2, 207.2), (179.2, 227.7), (184.8, 242.7), (199.7, 244.5), (218.4, 244.5), (235.2, 244.5), (244.5, 248.3), (244.5, 248.3), (255.7, 237.1), (270.7, 237.1), (293.1, 237.1), (308.0, 227.7), (308.0, 212.8), (308.0, 197.9), (308.0, 182.9), (313.6, 173.6), (313.6, 173.6), (313.6, 173.6), (313.6, 173.6), (313.6, 173.6), (313.6, 173.6), (313.6, 173.6), (317.3, 173.6), (332.3, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 173.6), (352.8, 175.5), (352.8, 179.2), (352.8, 179.2), (352.8, 179.2), (365.9, 169.9), (371.5, 154.9), (371.5, 140.0), (371.5, 125.1), (371.5, 110.1), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3)]",1,0,16.0
experienced,bomberman,6,Bomb,1,0,20.07,0.571,"[(112.0, 112.0), (115.7, 126.9), (115.7, 141.9), (115.7, 162.4), (119.5, 177.3), (134.4, 179.2), (151.2, 179.2), (169.9, 179.2), (179.2, 192.3), (179.2, 207.2), (179.2, 227.7), (184.8, 242.7), (199.7, 244.5), (218.4, 244.5), (235.2, 237.1), (244.5, 222.1), (244.5, 224.0), (244.5, 225.9), (244.5, 222.1), (244.5, 224.0), (244.5, 225.9), (244.5, 216.5), (244.5, 212.8), (244.5, 205.3), (244.5, 197.9), (244.5, 194.1), (244.5, 179.2), (259.5, 173.6), (274.4, 173.6), (296.8, 173.6), (308.0, 160.5), (308.0, 149.3), (308.0, 128.8), (311.7, 112.0), (326.7, 108.3), (341.6, 108.3), (356.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3), (371.5, 108.3)]",1,0,12.0
experienced,bomberman,6,Stuck,3,0,0.39,0.429,"[(112.0, 112.0), (115.7, 126.9), (115.7, 141.9), (112.0, 156.8), (112.0, 171.7), (112.0, 186.7), (115.7, 201.6), (115.7, 220.3), (115.7, 237.1), (115.7, 252.0), (115.7, 266.9), (115.7, 281.9), (115.7, 296.8), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0), (115.7, 308.0)]",1,0,9.47
