persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
speedrunner,bomberman,10,Bomb,6,0,32.56,0.385,"[(48.0, 48.0), (70.4, 45.2), (92.8, 45.2), (115.2, 45.2), (137.6, 45.2), (160.0, 45.2), (182.4, 45.2), (204.8, 45.2), (227.2, 45.2), (249.6, 45.2), (272.0, 45.2), (294.4, 45.2), (316.8, 45.2), (339.2, 45.2), (361.6, 45.2), (384.0, 45.2), (406.4, 45.2), (428.8, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2)]",0,0,11.87
speedrunner,bomberman,10,Stuck,0,0,53.67,0.385,"[(48.0, 48.0), (70.4, 45.2), (92.8, 45.2), (115.2, 45.2), (137.6, 45.2), (160.0, 45.2), (182.4, 45.2), (204.8, 45.2), (227.2, 45.2), (249.6, 45.2), (272.0, 45.2), (294.4, 45.2), (316.8, 45.2), (339.2, 45.2), (361.6, 45.2), (384.0, 45.2), (406.4, 45.2), (428.8, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2)]",0,0,7.2
speedrunner,bomberman,10,Stuck,0,0,53.67,0.385,"[(48.0, 48.0), (70.4, 45.2), (92.8, 45.2), (115.2, 45.2), (137.6, 45.2), (160.0, 45.2), (182.4, 45.2), (204.8, 45.2), (227.2, 45.2), (249.6, 45.2), (272.0, 45.2), (294.4, 45.2), (316.8, 45.2), (339.2, 45.2), (361.6, 45.2), (384.0, 45.2), (406.4, 45.2), (428.8, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2)]",0,0,7.2
speedrunner,bomberman,10,Bomb,10,0,7.68,0.231,"[(48.0, 48.0), (45.2, 70.4), (45.2, 92.8), (45.2, 115.2), (50.8, 137.6), (50.8, 165.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (59.2, 179.6), (59.2, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (59.2, 179.6), (59.2, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (64.8, 179.6), (70.4, 179.6), (92.8, 179.6), (98.4, 179.6), (98.4, 179.6), (98.4, 179.6), (98.4, 179.6), (98.4, 179.6), (98.4, 179.6), (98.4, 179.6), (98.4, 179.6), (98.4, 179.6), (98.4, 179.6), (98.4, 179.6), (109.6, 179.6), (109.6, 179.6), (109.6, 179.6), (109.6, 179.6), (109.6, 179.6), (109.6, 179.6), (109.6, 179.6), (109.6, 179.6), (109.6, 179.6), (109.6, 179.6), (109.6, 179.6), (109.6, 168.4), (109.6, 157.2), (109.6, 157.2)]",0,0,8.02
speedrunner,bomberman,10,Stuck,0,0,6.91,0.077,"[(48.0, 48.0), (50.8, 70.4), (50.8, 101.2), (64.8, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2), (84.4, 115.2)]",0,0,5.27
speedrunner,bomberman,10,Stuck,0,0,0.0,0.0,"[(48.0, 48.0), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2)]",0,0,5.0
speedrunner,bomberman,10,Stuck,0,0,0.0,0.0,"[(48.0, 48.0), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2)]",0,0,5.0
speedrunner,bomberman,10,Bomb,1,0,30.63,0.269,"[(48.0, 48.0), (70.4, 48.0), (92.8, 48.0), (115.2, 48.0), (137.6, 48.0), (160.0, 48.0), (182.4, 48.0), (204.8, 48.0), (227.2, 48.0), (249.6, 45.2), (266.4, 45.2), (269.2, 45.2), (269.2, 45.2), (269.2, 45.2), (269.2, 45.2), (272.0, 45.2), (272.0, 45.2), (272.0, 45.2), (272.0, 45.2), (272.0, 45.2), (280.4, 45.2), (280.4, 45.2), (280.4, 45.2), (280.4, 45.2), (297.2, 45.2), (319.6, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2)]",0,0,9.05
speedrunner,bomberman,10,Bomb,1,0,0.0,0.0,"[(48.0, 48.0), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2)]",0,0,4.0
speedrunner,bomberman,10,Bomb,1,0,39.12,0.154,"[(48.0, 48.0), (70.4, 45.2), (92.8, 45.2), (115.2, 45.2), (137.6, 45.2), (160.0, 45.2), (182.4, 45.2), (204.8, 50.8), (232.8, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (238.4, 50.8), (241.2, 50.8), (241.2, 50.8), (244.0, 50.8)]",0,0,4.87
speedrunner,bomberman,10,Bomb,6,0,32.56,0.385,"[(48.0, 48.0), (70.4, 45.2), (92.8, 45.2), (115.2, 45.2), (137.6, 45.2), (160.0, 45.2), (182.4, 45.2), (204.8, 45.2), (227.2, 45.2), (249.6, 45.2), (272.0, 45.2), (294.4, 45.2), (316.8, 45.2), (339.2, 45.2), (361.6, 45.2), (384.0, 45.2), (406.4, 45.2), (428.8, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2)]",0,0,11.87
speedrunner,bomberman,10,Stuck,0,0,53.67,0.385,"[(48.0, 48.0), (70.4, 45.2), (92.8, 45.2), (115.2, 45.2), (137.6, 45.2), (160.0, 45.2), (182.4, 45.2), (204.8, 45.2), (227.2, 45.2), (249.6, 45.2), (272.0, 45.2), (294.4, 45.2), (316.8, 45.2), (339.2, 45.2), (361.6, 45.2), (384.0, 45.2), (406.4, 45.2), (428.8, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2)]",0,0,7.2
speedrunner,bomberman,10,Stuck,0,0,53.67,0.385,"[(48.0, 48.0), (70.4, 45.2), (92.8, 45.2), (115.2, 45.2), (137.6, 45.2), (160.0, 45.2), (182.4, 45.2), (204.8, 45.2), (227.2, 45.2), (249.6, 45.2), (272.0, 45.2), (294.4, 45.2), (316.8, 45.2), (339.2, 45.2), (361.6, 45.2), (384.0, 45.2), (406.4, 45.2), (428.8, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2)]",0,0,7.2
speedrunner,bomberman,10,Bomb,1,0,30.63,0.269,"[(48.0, 48.0), (70.4, 48.0), (92.8, 48.0), (115.2, 48.0), (137.6, 48.0), (160.0, 48.0), (182.4, 48.0), (204.8, 48.0), (227.2, 48.0), (249.6, 45.2), (266.4, 45.2), (269.2, 45.2), (269.2, 45.2), (269.2, 45.2), (269.2, 45.2), (272.0, 45.2), (272.0, 45.2), (272.0, 45.2), (272.0, 45.2), (272.0, 45.2), (280.4, 45.2), (280.4, 45.2), (280.4, 45.2), (280.4, 45.2), (297.2, 45.2), (319.6, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (322.4, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2), (325.2, 45.2)]",0,0,9.05
