persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
speedrunner,mario,Mario1-2,Success,8,0,313.16,0.947,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (179.1, 314.5), (207.2, 260.9), (232.9, 228.5), (265.6, 219.2), (302.2, 240.0), (335.9, 187.5), (366.1, 135.9), (392.4, 105.7), (423.8, 98.7), (462.8, 123.1), (505.7, 182.9), (555.6, 256.2), (608.4, 329.5), (625.9, 274.6), (635.5, 223.6), (653.2, 194.1), (679.0, 187.9), (712.9, 213.1), (752.0, 273.6), (752.0, 346.9), (752.0, 322.6), (752.0, 266.4), (753.3, 231.5), (761.9, 219.7), (778.5, 236.4), (803.0, 178.6), (830.7, 127.6), (858.8, 98.1), (892.1, 91.9), (932.3, 117.1), (975.5, 177.6), (1026.3, 171.0), (1075.5, 112.3), (1120.4, 80.4), (1169.3, 103.2), (1222.7, 161.6), (1264.1, 234.9), (1264.1, 308.3), (1270.1, 358.3), (1286.8, 304.3), (1311.5, 325.3), (1344.8, 358.3), (1381.9, 304.3), (1421.4, 325.3), (1469.3, 358.3), (1520.4, 304.3), (1569.9, 325.3), (1619.6, 340.1), (1666.0, 313.8), (1708.0, 311.2), (1712.4, 341.2), (1718.4, 368.0), (1754.8, 368.0), (1808.2, 368.3), (1861.4, 306.6), (1914.8, 317.0), (1968.0, 350.3), (2021.4, 318.2), (2072.8, 309.2), (2121.7, 330.3), (2174.8, 348.9), (2225.7, 305.1), (2277.9, 330.4), (2331.2, 348.9), (2381.4, 305.1), (2429.2, 330.4), (2482.1, 348.9), (2532.9, 305.1), (2586.1, 330.4), (2638.8, 347.9), (2687.4, 321.6), (2734.5, 319.0), (2787.4, 349.0), (2840.0, 322.6), (2888.6, 272.0), (2935.7, 289.5), (2988.6, 342.5), (3041.2, 322.6), (3089.8, 266.4), (3138.1, 231.3), (3191.4, 219.1), (3244.7, 235.5), (3298.0, 252.0), (3348.8, 188.2), (3402.0, 144.9), (3455.4, 124.1), (3508.7, 128.3), (3562.0, 166.9), (3615.4, 236.2), (3668.7, 304.0), (3720.1, 235.1), (3771.9, 186.6), (3825.3, 160.0), (3878.5, 157.1), (3931.9, 186.8), (3985.2, 250.8), (4038.5, 324.1), (4091.6, 339.8), (4141.4, 278.6), (4188.0, 237.9), (4232.2, 220.0), (4280.3, 228.1), (4333.2, 203.0), (4382.3, 144.3), (4430.2, 106.4), (4483.2, 91.4), (4536.5, 103.5), (4589.9, 151.0), (4643.2, 223.4), (4695.5, 186.5), (4743.6, 132.9), (4792.6, 100.5), (4846.0, 91.2), (4899.3, 112.0), (4952.6, 168.4), (5006.0, 218.3), (5056.8, 152.0), (5105.4, 106.0), (5158.4, 82.3), (5211.7, 90.5), (5265.1, 135.6), (5318.4, 207.4)]",0,0,16.78
speedrunner,mario,Mario1-2,Pit,1,0,281.46,0.466,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.5), (220.9, 260.9), (269.0, 228.5), (322.2, 219.2), (375.5, 240.0), (428.9, 171.2), (482.2, 122.7), (535.5, 96.1), (588.9, 93.1), (642.2, 122.8), (695.5, 186.8), (748.9, 260.1), (752.8, 333.5), (752.8, 331.0), (752.8, 272.3), (752.8, 234.4), (760.3, 219.4), (776.0, 231.5), (802.0, 186.5), (836.9, 132.9), (879.9, 100.5), (930.8, 91.3), (984.1, 112.1), (1037.4, 168.5), (1090.8, 241.8), (1144.1, 315.1), (1197.4, 348.9), (1250.8, 285.1), (1264.1, 241.8), (1264.1, 221.0), (1264.1, 225.2), (1264.1, 263.8), (1265.9, 333.1), (1277.0, 331.0), (1297.7, 308.3), (1326.6, 342.1), (1365.0, 331.0), (1413.0, 308.3), (1466.3, 342.1), (1519.6, 331.0), (1572.9, 308.3), (1626.3, 342.1), (1679.6, 327.6), (1712.4, 309.9), (1712.4, 318.2), (1712.4, 361.6), (1729.6, 368.0), (1776.7, 368.0), (1830.1, 348.9), (1883.4, 305.1), (1936.7, 330.4), (1990.1, 348.9), (2043.4, 305.1), (2096.7, 330.4), (2150.1, 348.9), (2203.4, 305.1), (2256.7, 330.4), (2310.1, 348.9), (2363.4, 305.1), (2416.7, 330.4), (2470.1, 348.9), (2523.4, 305.1), (2576.7, 330.4), (2630.1, 390.2)]",0,0,9.02
speedrunner,mario,Mario1-2,Enemy,13,2,136.24,0.303,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 315.4), (220.9, 265.3), (269.0, 237.1), (322.2, 232.2), (372.2, 240.4), (393.3, 240.4), (403.2, 240.4), (414.7, 240.4), (425.6, 240.4), (436.1, 240.4), (445.9, 240.4), (453.2, 240.4), (454.7, 240.4), (456.2, 240.4), (457.7, 240.4), (459.2, 240.4), (460.8, 240.4), (462.3, 240.4), (463.8, 240.4), (465.3, 240.4), (466.8, 240.4), (468.3, 240.4), (469.8, 240.4), (471.3, 240.4), (472.8, 240.4), (474.4, 240.4), (475.9, 240.4), (477.4, 240.4), (478.9, 240.4), (480.4, 240.4), (481.9, 240.4), (483.4, 240.4), (484.9, 240.4), (486.4, 240.4), (488.0, 240.4), (489.5, 240.4), (491.0, 240.4), (492.5, 240.4), (494.0, 240.4), (495.5, 240.4), (499.4, 247.4), (511.7, 288.0), (532.1, 358.3), (562.9, 315.4), (602.5, 265.4), (650.3, 238.6), (703.5, 235.4), (752.0, 264.9), (752.0, 328.7), (752.1, 340.1), (752.1, 281.4), (752.1, 245.9), (757.7, 233.5), (772.1, 220.9), (796.9, 157.4), (829.7, 116.4), (870.7, 98.3), (919.7, 106.3), (973.1, 149.2), (1026.4, 220.3), (1079.7, 252.9), (1133.1, 189.5), (1186.4, 146.5), (1239.7, 126.1), (1293.1, 130.6), (1346.4, 169.6), (1399.7, 116.5), (1453.1, 81.1), (1506.4, 107.4), (1559.7, 168.8), (1613.1, 242.1), (1648.4, 315.4), (1655.7, 349.0), (1673.4, 305.1), (1699.2, 330.9), (1712.0, 325.1), (1712.0, 304.5), (1712.0, 309.0), (1712.0, 347.9), (1719.1, 368.0), (1718.7, 368.0), (1718.3, 368.0), (1717.9, 368.0), (1717.5, 368.0), (1717.1, 368.0)]",0,0,11.83
speedrunner,mario,Mario1-2,Enemy,1,3,285.22,0.292,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.5), (220.9, 260.9), (269.0, 228.5), (322.2, 219.2), (375.5, 240.0), (428.9, 171.2), (482.2, 122.7), (535.5, 96.1), (588.9, 93.1), (642.2, 122.8), (695.5, 186.8), (748.9, 260.1), (752.0, 333.5), (752.4, 331.0), (752.0, 272.3), (752.4, 234.4), (759.0, 219.4), (773.6, 231.5), (798.6, 186.5), (832.5, 132.9), (874.5, 100.5), (924.5, 91.3), (977.8, 112.1), (1031.2, 168.5), (1084.5, 241.8), (1137.8, 294.3), (1191.2, 228.0), (1244.5, 182.0), (1297.8, 158.3), (1351.2, 158.9), (1404.5, 147.8), (1457.8, 86.6), (1511.2, 89.8), (1564.5, 133.9), (1617.8, 205.4), (1648.0, 278.8), (1652.4, 352.1)]",0,0,5.4
speedrunner,mario,Mario1-2,Pit,1,0,281.46,0.466,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.5), (220.9, 260.9), (269.0, 228.5), (322.2, 219.2), (375.5, 240.0), (428.9, 171.2), (482.2, 122.7), (535.5, 96.1), (588.9, 93.1), (642.2, 122.8), (695.5, 186.8), (748.9, 260.1), (752.8, 333.5), (752.8, 331.0), (752.8, 272.3), (752.8, 234.4), (760.3, 219.4), (776.0, 231.5), (802.0, 186.5), (836.9, 132.9), (879.9, 100.5), (930.8, 91.3), (984.1, 112.1), (1037.4, 168.5), (1090.8, 241.8), (1144.1, 315.1), (1197.4, 348.9), (1250.8, 285.1), (1264.1, 241.8), (1264.1, 221.0), (1264.1, 225.2), (1264.1, 263.8), (1265.9, 333.1), (1277.0, 331.0), (1297.7, 308.3), (1326.6, 342.1), (1365.0, 331.0), (1413.0, 308.3), (1466.3, 342.1), (1519.6, 331.0), (1572.9, 308.3), (1626.3, 342.1), (1679.6, 327.6), (1712.4, 309.9), (1712.4, 318.2), (1712.4, 361.6), (1729.6, 368.0), (1776.7, 368.0), (1830.1, 348.9), (1883.4, 305.1), (1936.7, 330.4), (1990.1, 348.9), (2043.4, 305.1), (2096.7, 330.4), (2150.1, 348.9), (2203.4, 305.1), (2256.7, 330.4), (2310.1, 348.9), (2363.4, 305.1), (2416.7, 330.4), (2470.1, 348.9), (2523.4, 305.1), (2576.7, 330.4), (2630.1, 390.2)]",0,0,9.02
speedrunner,mario,Mario1-2,Stuck,18,2,178.42,0.347,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.7), (220.9, 263.7), (269.0, 235.8), (322.2, 231.2), (375.5, 211.9), (428.9, 153.0), (482.2, 117.1), (535.5, 104.3), (588.9, 120.1), (642.2, 171.5), (695.5, 244.6), (748.9, 235.0), (802.2, 177.6), (855.5, 142.9), (908.9, 131.3), (962.2, 148.3), (1015.5, 200.8), (1068.9, 272.0), (1122.2, 211.9), (1175.5, 164.5), (1228.9, 140.2), (1282.2, 140.2), (1335.5, 173.7), (1388.9, 114.6), (1442.2, 81.3), (1495.5, 108.6), (1548.9, 170.8), (1602.2, 244.1), (1655.5, 317.4), (1708.9, 348.9), (1712.8, 286.7), (1712.8, 247.6), (1715.5, 231.6), (1727.2, 240.0), (1752.6, 210.8), (1786.4, 240.0), (1834.1, 179.9), (1887.3, 145.3), (1940.7, 172.6), (1968.8, 234.8), (1968.1, 187.5), (1968.1, 144.4), (1968.1, 167.2), (1968.1, 225.6), (1968.8, 195.4), (1968.8, 144.0), (1968.8, 162.4), (1968.8, 216.4), (1968.4, 203.7), (1968.4, 147.6), (1968.4, 158.2), (1968.4, 207.8), (1968.1, 212.3), (1968.1, 153.3), (1968.1, 154.5), (1968.1, 199.6), (1968.0, 221.3), (1968.0, 159.4), (1968.0, 151.4), (1968.0, 192.0), (1968.5, 230.6), (1968.8, 165.9), (1968.8, 148.8), (1968.8, 185.0), (1968.0, 240.4), (1968.4, 172.7), (1968.4, 146.8), (1968.4, 178.5), (1968.4, 240.0), (1968.1, 179.9), (1968.1, 145.3), (1968.1, 172.6), (1968.1, 234.8), (1968.0, 187.5), (1968.0, 144.4), (1968.0, 167.2), (1968.0, 225.6)]",0,0,10.72
speedrunner,mario,Mario1-2,Enemy,5,0,186.73,0.077,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (178.1, 314.5), (203.1, 260.9), (223.7, 228.5), (247.0, 219.2), (278.1, 240.0), (304.1, 296.4), (308.5, 368.0), (331.1, 368.0), (381.2, 368.0), (434.5, 368.0)]",0,0,1.75
speedrunner,mario,Mario1-2,Pit,12,2,203.07,0.466,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (148.7, 353.8), (172.2, 314.5), (204.3, 260.9), (244.5, 228.5), (292.8, 219.2), (346.1, 240.0), (399.4, 171.2), (452.7, 122.7), (506.1, 96.1), (559.4, 93.1), (612.7, 122.8), (665.8, 186.8), (718.5, 260.1), (752.4, 218.5), (759.0, 164.9), (773.6, 132.5), (796.4, 123.2), (827.2, 144.0), (866.1, 200.4), (910.4, 272.0), (944.4, 203.1), (951.0, 154.6), (965.6, 128.0), (988.4, 125.1), (1019.2, 154.8), (1058.1, 218.8), (1104.2, 292.1), (1156.8, 250.5), (1210.1, 196.9), (1263.5, 164.5), (1316.8, 155.2), (1370.1, 176.0), (1423.5, 107.2), (1476.8, 82.5), (1530.1, 113.2), (1582.0, 177.9), (1629.5, 251.3), (1648.0, 324.6), (1649.9, 339.8), (1660.5, 306.5), (1677.1, 335.9), (1698.2, 331.4), (1712.0, 310.8), (1712.0, 315.3), (1712.0, 354.2), (1712.0, 319.2), (1712.0, 307.3), (1712.0, 324.0), (1712.0, 368.0), (1712.4, 299.6), (1712.0, 252.7), (1713.3, 228.9), (1721.9, 229.3), (1740.1, 208.0), (1765.9, 224.9), (1792.0, 203.0), (1826.4, 144.3), (1840.2, 106.6), (1840.2, 91.9), (1840.2, 104.4), (1840.4, 152.3), (1840.4, 224.8), (1840.4, 298.1), (1840.7, 342.2), (1847.3, 313.0), (1862.0, 307.0), (1884.7, 332.6), (1914.4, 326.8), (1951.8, 306.2), (1997.2, 310.7), (2049.6, 349.6), (2102.9, 322.6), (2128.0, 266.7), (2128.7, 233.5), (2128.7, 223.4), (2128.7, 243.4), (2128.8, 299.0), (2128.2, 368.0), (2135.8, 304.0), (2151.4, 320.9), (2174.0, 368.0), (2204.2, 304.0), (2242.5, 320.9), (2288.6, 368.0), (2341.9, 304.0), (2395.2, 320.9), (2448.5, 368.0), (2501.8, 304.0), (2555.1, 320.9), (2608.4, 372.1)]",0,0,12.38
speedrunner,mario,Mario1-2,Pit,1,0,281.46,0.466,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.5), (220.9, 260.9), (269.0, 228.5), (322.2, 219.2), (375.5, 240.0), (428.9, 171.2), (482.2, 122.7), (535.5, 96.1), (588.9, 93.1), (642.2, 122.8), (695.5, 186.8), (748.9, 260.1), (752.8, 333.5), (752.8, 331.0), (752.8, 272.3), (752.8, 234.4), (760.3, 219.4), (776.0, 231.5), (802.0, 186.5), (836.9, 132.9), (879.9, 100.5), (930.8, 91.3), (984.1, 112.1), (1037.4, 168.5), (1090.8, 241.8), (1144.1, 315.1), (1197.4, 348.9), (1250.8, 285.1), (1264.1, 241.8), (1264.1, 221.0), (1264.1, 225.2), (1264.1, 263.8), (1265.9, 333.1), (1277.0, 331.0), (1297.7, 308.3), (1326.6, 342.1), (1365.0, 331.0), (1413.0, 308.3), (1466.3, 342.1), (1519.6, 331.0), (1572.9, 308.3), (1626.3, 342.1), (1679.6, 327.6), (1712.4, 309.9), (1712.4, 318.2), (1712.4, 361.6), (1729.6, 368.0), (1776.7, 368.0), (1830.1, 348.9), (1883.4, 305.1), (1936.7, 330.4), (1990.1, 348.9), (2043.4, 305.1), (2096.7, 330.4), (2150.1, 348.9), (2203.4, 305.1), (2256.7, 330.4), (2310.1, 348.9), (2363.4, 305.1), (2416.7, 330.4), (2470.1, 348.9), (2523.4, 305.1), (2576.7, 330.4), (2630.1, 390.2)]",0,0,9.02
speedrunner,mario,Mario1-2,Enemy,0,0,289.09,0.082,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (186.7, 368.0), (240.0, 368.0), (293.4, 368.0), (346.7, 368.0), (400.0, 368.0), (453.4, 368.0)]",0,0,1.25
